Geographic Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beaver County,6655,6559,6500,6457,6432,6353,6478,6421,6625,6710
Box Elder County,50175,50239,50201,50727,51300,51826,52975,53977,54906,56046
Cache County,113386,114781,115895,117025,117894,119697,122201,124236,126400,128289
Carbon County,21403,21305,21222,20903,20636,20391,20324,20131,20233,20463
Daggett County,1077,1162,1095,1140,1124,1107,1076,1013,974,950
Davis County,307910,311852,315926,322228,328714,334597,341000,346658,351101,355481
Duchesne County,18647,18700,19000,19960,20199,20748,20242,19868,19943,19938
Emery County,11005,10985,10939,10759,10638,10359,10206,10006,10003,10012
Garfield County,5197,5149,5063,5029,5005,4962,4952,5025,5002,5051
Grand County,9312,9298,9358,9376,9481,9551,9622,9589,9686,9754
Iron County,46263,46622,46646,46530,47041,48113,49676,50761,52678,54839
Juab County,10264,10313,10295,10261,10410,10551,11016,11293,11629,12017
Kane County,7213,7295,7173,7124,7167,7039,7297,7520,7677,7886
Millard County,12541,12570,12468,12555,12538,12620,12655,12821,12987,13188
Morgan County,9522,9653,9807,10207,10601,11039,11370,11829,11956,12124
Piute County,1565,1499,1497,1488,1467,1491,1459,1407,1438,1479
Rich County,2254,2294,2257,2263,2273,2300,2313,2395,2456,2483
Salt Lake County,1032976,1047610,1063956,1079392,1090005,1102273,1120109,1136719,1148692,1160437
San Juan County,14824,14839,15037,14988,15058,15239,15329,15277,15358,15308
Sanpete County,27940,28003,27961,28128,28297,28654,29232,29921,30503,30939
Sevier County,20798,20870,20658,20747,20735,20858,21131,21292,21497,21620
Summit County,36500,37421,37864,38420,39113,39640,40512,41330,41890,42145
Tooele County,58502,59190,59792,60633,61442,62639,64612,67486,69989,72259
Uintah County,32467,33241,34641,35682,36918,37791,36264,35228,35405,35734
Utah County,519998,530688,539685,551273,560649,572667,590288,606742,621520,636235
Wasatch County,23644,24408,25344,26584,27814,29118,30375,31890,33067,34091
Washington County,138389,141249,144139,146987,151081,154650,159352,165929,171567,177556
Wayne County,2772,2742,2705,2712,2695,2690,2671,2702,2671,2711
Weber County,232133,233847,236251,238062,240152,242872,247131,251576,255697,260213
